Transaction_ID,Customer_ID_internal,Account_Type_internal,Total_Balance_internal,Transaction_Amount_internal,Investment_Amount_internal,Investment_Type_internal,Transaction_Date_internal,Customer_ID_external,Account_Type_external,Total_Balance_external,Transaction_Amount_external,Investment_Amount_external,Investment_Type_external,Transaction_Date_external,status,amount_difference,date_difference_days,record_location
300000,209689,Business,69339,4794.0,42580,Fixed Deposit,2024-12-08,209689,Business,69339.0,4794.0,42580.0,Fixed Deposit,2024-12-08,MATCH,0.0,0.0,both
300001,206124,Business,12825,3500.0,46605,Fixed Deposit,2022-09-09,206124,Business,12825.0,4000.0,46605.0,Fixed Deposit,2022-09-09,AMOUNT_MISMATCH,-500.0,0.0,both
300002,207501,Current,67753,2401.0,17027,Fixed Deposit,2022-04-28,,,,,,,,MISSING_EXTERNAL,,,left_only
300003,208675,Savings,67061,2952.0,3054,Fixed Deposit,2023-05-22,208675,Savings,67061.0,2952.0,3054.0,Fixed Deposit,2023-05-22,MATCH,0.0,0.0,both
300004,204923,Business,8566,1025.0,44937,Fixed Deposit,2023-04-05,204923,Business,8566.0,1025.0,44937.0,Fixed Deposit,2023-04-05,DUPLICATE,0.0,0.0,both
300004,204923,Business,8566,1025.0,44937,Fixed Deposit,2023-04-05,204923,Business,8566.0,1025.0,44937.0,Fixed Deposit,2023-04-05,DUPLICATE,0.0,0.0,both
300005,208422,Business,99584,3685.0,31763,Fixed Deposit,2023-03-02,208422,Business,99584.0,3685.0,31763.0,Fixed Deposit,2023-03-02,MATCH,0.0,0.0,both
300006,200086,Savings,88497,2343.0,26793,Recurring Deposit,2022-10-23,200086,Savings,88497.0,2343.0,26793.0,Recurring Deposit,2022-10-23,MATCH,0.0,0.0,both
300007,204484,Savings,20803,1985.0,3709,Fixed Deposit,2022-08-27,204484,Savings,20803.0,1985.0,3709.0,Fixed Deposit,2022-08-27,MATCH,0.0,0.0,both
300008,201643,Business,60911,5224.0,45985,Recurring Deposit,2025-02-04,201643,Business,60911.0,5224.0,45985.0,Recurring Deposit,2025-02-04,MATCH,0.0,0.0,both
300009,208910,Business,35489,3714.0,38111,Fixed Deposit,2024-07-15,208910,Business,35489.0,3714.0,38111.0,Fixed Deposit,2024-07-15,MATCH,0.0,0.0,both
300010,204832,Savings,40289,3689.0,4968,Recurring Deposit,2022-08-03,204832,Savings,40289.0,3689.0,4968.0,Recurring Deposit,2022-08-03,MATCH,0.0,0.0,both
300011,202229,Savings,19167,3885.0,2633,Mutual Fund,2024-09-23,202229,Savings,19167.0,3885.0,2633.0,Mutual Fund,2024-09-23,MATCH,0.0,0.0,both
300012,202469,Current,96671,997.0,9228,Recurring Deposit,2024-01-05,202469,Current,96671.0,997.0,9228.0,Recurring Deposit,2024-01-05,MATCH,0.0,0.0,both
300013,206596,Business,91612,3675.0,31008,Mutual Fund,2022-05-09,206596,Business,91612.0,3675.0,31008.0,Mutual Fund,2022-05-09,MATCH,0.0,0.0,both
